timestamp,gameid,value,label
"Date:  Sat, 01 Aug 2020 00:16:37 GMT1 week ago",3515649,12.56,1
"Date:  Sat, 01 Aug 2020 00:17:22 GMT1 week ago",3515650,1.55,0
"Date:  Sat, 01 Aug 2020 00:17:36 GMT1 week ago",3515651,1.41,0
"Date:  Sat, 01 Aug 2020 00:17:50 GMT1 week ago",3515652,2.41,1
"Date:  Sat, 01 Aug 2020 00:18:11 GMT1 week ago",3515653,2.05,1
"Date:  Sat, 01 Aug 2020 00:18:29 GMT1 week ago",3515654,3.16,1
"Date:  Sat, 01 Aug 2020 00:18:54 GMT1 week ago",3515655,15.54,1
"Date:  Sat, 01 Aug 2020 00:19:42 GMT1 week ago",3515656,1.01,0
"Date:  Sat, 01 Aug 2020 00:19:51 GMT1 week ago",3515657,1.62,0
"Date:  Sat, 01 Aug 2020 00:20:06 GMT1 week ago",3515658,1.2,0
"Date:  Sat, 01 Aug 2020 00:20:17 GMT1 week ago",3515659,3.17,1
"Date:  Sat, 01 Aug 2020 00:20:42 GMT1 week ago",3515660,1.21,0
"Date:  Sat, 01 Aug 2020 00:20:53 GMT1 week ago",3515661,13.6,1
"Date:  Sat, 01 Aug 2020 00:21:39 GMT1 week ago",3515662,1.27,0
"Date:  Sat, 01 Aug 2020 00:21:51 GMT1 week ago",3515663,1.25,0
"Date:  Sat, 01 Aug 2020 00:22:02 GMT1 week ago",3515664,1.36,0
"Date:  Sat, 01 Aug 2020 00:22:15 GMT1 week ago",3515665,1.07,0
"Date:  Sat, 01 Aug 2020 00:22:25 GMT1 week ago",3515666,1.81,0
"Date:  Sat, 01 Aug 2020 00:22:41 GMT1 week ago",3515667,4.15,1
"Date:  Sat, 01 Aug 2020 00:23:10 GMT1 week ago",3515668,1.38,0
"Date:  Sat, 01 Aug 2020 00:23:23 GMT1 week ago",3515669,2.48,1
"Date:  Sat, 01 Aug 2020 00:23:45 GMT1 week ago",3515670,6.54,1
"Date:  Sat, 01 Aug 2020 00:24:20 GMT1 week ago",3515671,4.05,1
"Date:  Sat, 01 Aug 2020 00:24:48 GMT1 week ago",3515672,7.99,1
"Date:  Sat, 01 Aug 2020 00:25:27 GMT1 week ago",3515673,1,0
"Date:  Sat, 01 Aug 2020 00:25:35 GMT1 week ago",3515674,1.03,0
"Date:  Sat, 01 Aug 2020 00:25:44 GMT1 week ago",3515675,1.71,0
"Date:  Sat, 01 Aug 2020 00:26:00 GMT1 week ago",3515676,1.8,0
"Date:  Sat, 01 Aug 2020 00:26:17 GMT1 week ago",3515677,1.28,0
"Date:  Sat, 01 Aug 2020 00:26:29 GMT1 week ago",3515678,1.35,0
"Date:  Sat, 01 Aug 2020 00:26:41 GMT1 week ago",3515679,2.07,1
"Date:  Sat, 01 Aug 2020 00:27:00 GMT1 week ago",3515680,6.17,1
"Date:  Sat, 01 Aug 2020 00:27:35 GMT1 week ago",3515681,1.39,0
"Date:  Sat, 01 Aug 2020 00:27:48 GMT1 week ago",3515682,1.53,0
"Date:  Sat, 01 Aug 2020 00:28:02 GMT1 week ago",3515683,8.03,1
"Date:  Sat, 01 Aug 2020 00:28:41 GMT1 week ago",3515684,1.22,0
"Date:  Sat, 01 Aug 2020 00:28:52 GMT1 week ago",3515685,1.38,0
"Date:  Sat, 01 Aug 2020 00:29:05 GMT1 week ago",3515686,1.17,0
"Date:  Sat, 01 Aug 2020 00:29:16 GMT1 week ago",3515687,2.05,1
"Date:  Sat, 01 Aug 2020 00:29:34 GMT1 week ago",3515688,48.14,1
"Date:  Sat, 01 Aug 2020 00:30:38 GMT1 week ago",3515689,3.56,1
"Date:  Sat, 01 Aug 2020 00:31:05 GMT1 week ago",3515690,1.39,0
"Date:  Sat, 01 Aug 2020 00:31:18 GMT1 week ago",3515691,3.19,1
"Date:  Sat, 01 Aug 2020 00:31:43 GMT1 week ago",3515692,1.32,0
"Date:  Sat, 01 Aug 2020 00:31:55 GMT1 week ago",3515693,5.25,1
"Date:  Sat, 01 Aug 2020 00:32:28 GMT1 week ago",3515694,1,0
