13760,48,"Date:  Fri, 31 Jul 2020 23:48:11 GMT1 week ago",3515576, 1.37x
13759,47,"Date:  Fri, 31 Jul 2020 23:48:24 GMT1 week ago",3515577, 6.82x
13758,46,"Date:  Fri, 31 Jul 2020 23:49:00 GMT1 week ago",3515578, 4.06x
13757,45,"Date:  Fri, 31 Jul 2020 23:49:28 GMT1 week ago",3515579, 1.1x
13756,44,"Date:  Fri, 31 Jul 2020 23:49:38 GMT1 week ago",3515580, 12x
13755,43,"Date:  Fri, 31 Jul 2020 23:50:22 GMT1 week ago",3515581, 1x
13754,42,"Date:  Fri, 31 Jul 2020 23:50:30 GMT1 week ago",3515582, 2.46x
13753,41,"Date:  Fri, 31 Jul 2020 23:50:52 GMT1 week ago",3515583, 1.36x
13752,40,"Date:  Fri, 31 Jul 2020 23:51:04 GMT1 week ago",3515584, 6.53x
13751,39,"Date:  Fri, 31 Jul 2020 23:51:40 GMT1 week ago",3515585, 1.22x
13750,38,"Date:  Fri, 31 Jul 2020 23:51:51 GMT1 week ago",3515586, 2.99x
13749,37,"Date:  Fri, 31 Jul 2020 23:52:15 GMT1 week ago",3515587, 1.11x
13748,36,"Date:  Fri, 31 Jul 2020 23:52:25 GMT1 week ago",3515588, 2.51x
13747,35,"Date:  Fri, 31 Jul 2020 23:52:47 GMT1 week ago",3515589, 1.93x
13746,34,"Date:  Fri, 31 Jul 2020 23:53:04 GMT1 week ago",3515590, 2.64x
13745,33,"Date:  Fri, 31 Jul 2020 23:53:27 GMT1 week ago",3515591, 1.05x
13744,32,"Date:  Fri, 31 Jul 2020 23:53:36 GMT1 week ago",3515592, 1.29x
13743,31,"Date:  Fri, 31 Jul 2020 23:53:48 GMT1 week ago",3515593, 1.27x
13742,30,"Date:  Fri, 31 Jul 2020 23:54:00 GMT1 week ago",3515594, 1.82x
13741,29,"Date:  Fri, 31 Jul 2020 23:54:17 GMT1 week ago",3515595, 3.05x
13740,28,"Date:  Fri, 31 Jul 2020 23:54:41 GMT1 week ago",3515596, 5.31x
13739,27,"Date:  Fri, 31 Jul 2020 23:55:13 GMT1 week ago",3515597, 2.59x
13738,26,"Date:  Fri, 31 Jul 2020 23:55:35 GMT1 week ago",3515598, 3.75x
13737,25,"Date:  Fri, 31 Jul 2020 23:56:03 GMT1 week ago",3515599, 1.12x
13736,24,"Date:  Fri, 31 Jul 2020 23:56:13 GMT1 week ago",3515600, 2.89x
13735,23,"Date:  Fri, 31 Jul 2020 23:56:36 GMT1 week ago",3515601, 4.96x
13734,22,"Date:  Fri, 31 Jul 2020 23:57:08 GMT1 week ago",3515602, 15.25x
13733,21,"Date:  Fri, 31 Jul 2020 23:57:55 GMT1 week ago",3515603, 2.44x
13732,20,"Date:  Fri, 31 Jul 2020 23:58:16 GMT1 week ago",3515604, 1.12x
13731,19,"Date:  Fri, 31 Jul 2020 23:58:26 GMT1 week ago",3515605, 1.33x
13730,18,"Date:  Fri, 31 Jul 2020 23:58:39 GMT1 week ago",3515606, 4.4x
13729,17,"Date:  Fri, 31 Jul 2020 23:59:08 GMT1 week ago",3515607, 3.5x
13728,16,"Date:  Fri, 31 Jul 2020 23:59:35 GMT1 week ago",3515608, 1.68x
13727,15,"Date:  Fri, 31 Jul 2020 23:59:51 GMT1 week ago",3515609, 1.02x
13726,14,"Date:  Fri, 31 Jul 2020 23:59:59 GMT1 week ago",3515610, 2.03x
13725,13,"Date:  Sat, 01 Aug 2020 00:00:18 GMT1 week ago",3515611, 1.45x
13724,12,"Date:  Sat, 01 Aug 2020 00:00:32 GMT1 week ago",3515612, 3.93x
13723,11,"Date:  Sat, 01 Aug 2020 00:01:00 GMT1 week ago",3515613, 2.31x
13722,10,"Date:  Sat, 01 Aug 2020 00:01:20 GMT1 week ago",3515614, 2.62x
13721,9,"Date:  Sat, 01 Aug 2020 00:01:42 GMT1 week ago",3515615, 6.46x
13720,8,"Date:  Sat, 01 Aug 2020 00:02:17 GMT1 week ago",3515616, 1.44x
13719,7,"Date:  Sat, 01 Aug 2020 00:02:31 GMT1 week ago",3515617, 1.97x
13718,6,"Date:  Sat, 01 Aug 2020 00:02:49 GMT1 week ago",3515618, 1.75x
13717,5,"Date:  Sat, 01 Aug 2020 00:03:06 GMT1 week ago",3515619, 13.1x
13716,4,"Date:  Sat, 01 Aug 2020 00:03:51 GMT1 week ago",3515620, 2.34x
13715,3,"Date:  Sat, 01 Aug 2020 00:04:12 GMT1 week ago",3515621, 2.24x
13714,2,"Date:  Sat, 01 Aug 2020 00:04:31 GMT1 week ago",3515622, 7.04x
13713,1,"Date:  Sat, 01 Aug 2020 00:05:08 GMT1 week ago",3515623, 2.67x
13712,0,"Date:  Sat, 01 Aug 2020 00:05:30 GMT1 week ago",3515624, 25.99x
13711,49,"Date:  Sat, 01 Aug 2020 00:06:25 GMT1 week ago",3515625, 3.83x
13710,48,"Date:  Sat, 01 Aug 2020 00:06:53 GMT1 week ago",3515626, 2.29x
13709,47,"Date:  Sat, 01 Aug 2020 00:07:13 GMT1 week ago",3515627, 1.46x
13708,46,"Date:  Sat, 01 Aug 2020 00:07:27 GMT1 week ago",3515628, 28.91x
13707,45,"Date:  Sat, 01 Aug 2020 00:08:24 GMT1 week ago",3515629, 1x
13706,44,"Date:  Sat, 01 Aug 2020 00:08:33 GMT1 week ago",3515630, 10.49x
13705,43,"Date:  Sat, 01 Aug 2020 00:09:15 GMT1 week ago",3515631, 6.92x
13704,42,"Date:  Sat, 01 Aug 2020 00:09:51 GMT1 week ago",3515632, 1.16x
13703,41,"Date:  Sat, 01 Aug 2020 00:10:01 GMT1 week ago",3515633, 1.32x
13702,40,"Date:  Sat, 01 Aug 2020 00:10:14 GMT1 week ago",3515634, 1.71x
13701,39,"Date:  Sat, 01 Aug 2020 00:10:30 GMT1 week ago",3515635, 2.54x
13700,38,"Date:  Sat, 01 Aug 2020 00:10:52 GMT1 week ago",3515636, 13.18x
13699,37,"Date:  Sat, 01 Aug 2020 00:11:37 GMT1 week ago",3515637, 1.32x
13698,36,"Date:  Sat, 01 Aug 2020 00:11:50 GMT1 week ago",3515638, 1.03x
13697,35,"Date:  Sat, 01 Aug 2020 00:11:58 GMT1 week ago",3515639, 14.64x
13696,34,"Date:  Sat, 01 Aug 2020 00:12:45 GMT1 week ago",3515640, 4.05x
13695,33,"Date:  Sat, 01 Aug 2020 00:13:14 GMT1 week ago",3515641, 1.37x
13694,32,"Date:  Sat, 01 Aug 2020 00:13:27 GMT1 week ago",3515642, 3x
13693,31,"Date:  Sat, 01 Aug 2020 00:13:51 GMT1 week ago",3515643, 1.09x
13692,30,"Date:  Sat, 01 Aug 2020 00:14:01 GMT1 week ago",3515644, 5.39x
13691,29,"Date:  Sat, 01 Aug 2020 00:14:33 GMT1 week ago",3515645, 1.72x
13690,28,"Date:  Sat, 01 Aug 2020 00:14:49 GMT1 week ago",3515646, 7.56x
13689,27,"Date:  Sat, 01 Aug 2020 00:15:27 GMT1 week ago",3515647, 13.08x
13688,26,"Date:  Sat, 01 Aug 2020 00:16:12 GMT1 week ago",3515648, 3.12x
13687,25,"Date:  Sat, 01 Aug 2020 00:16:37 GMT1 week ago",3515649, 12.56x
13686,24,"Date:  Sat, 01 Aug 2020 00:17:22 GMT1 week ago",3515650, 1.55x
13685,23,"Date:  Sat, 01 Aug 2020 00:17:36 GMT1 week ago",3515651, 1.41x
13684,22,"Date:  Sat, 01 Aug 2020 00:17:50 GMT1 week ago",3515652, 2.41x
13683,21,"Date:  Sat, 01 Aug 2020 00:18:11 GMT1 week ago",3515653, 2.05x
13682,20,"Date:  Sat, 01 Aug 2020 00:18:29 GMT1 week ago",3515654, 3.16x
13681,19,"Date:  Sat, 01 Aug 2020 00:18:54 GMT1 week ago",3515655, 15.54x
13680,18,"Date:  Sat, 01 Aug 2020 00:19:42 GMT1 week ago",3515656, 1.01x
13679,17,"Date:  Sat, 01 Aug 2020 00:19:51 GMT1 week ago",3515657, 1.62x
13678,16,"Date:  Sat, 01 Aug 2020 00:20:06 GMT1 week ago",3515658, 1.2x
13677,15,"Date:  Sat, 01 Aug 2020 00:20:17 GMT1 week ago",3515659, 3.17x
13676,14,"Date:  Sat, 01 Aug 2020 00:20:42 GMT1 week ago",3515660, 1.21x
13675,13,"Date:  Sat, 01 Aug 2020 00:20:53 GMT1 week ago",3515661, 13.6x
13674,12,"Date:  Sat, 01 Aug 2020 00:21:39 GMT1 week ago",3515662, 1.27x
13673,11,"Date:  Sat, 01 Aug 2020 00:21:51 GMT1 week ago",3515663, 1.25x
13672,10,"Date:  Sat, 01 Aug 2020 00:22:02 GMT1 week ago",3515664, 1.36x
13671,9,"Date:  Sat, 01 Aug 2020 00:22:15 GMT1 week ago",3515665, 1.07x
13670,8,"Date:  Sat, 01 Aug 2020 00:22:25 GMT1 week ago",3515666, 1.81x
13669,7,"Date:  Sat, 01 Aug 2020 00:22:41 GMT1 week ago",3515667, 4.15x
13668,6,"Date:  Sat, 01 Aug 2020 00:23:10 GMT1 week ago",3515668, 1.38x
13667,5,"Date:  Sat, 01 Aug 2020 00:23:23 GMT1 week ago",3515669, 2.48x
13666,4,"Date:  Sat, 01 Aug 2020 00:23:45 GMT1 week ago",3515670, 6.54x
13665,3,"Date:  Sat, 01 Aug 2020 00:24:20 GMT1 week ago",3515671, 4.05x
13664,2,"Date:  Sat, 01 Aug 2020 00:24:48 GMT1 week ago",3515672, 7.99x
13663,1,"Date:  Sat, 01 Aug 2020 00:25:27 GMT1 week ago",3515673, 1x
13662,0,"Date:  Sat, 01 Aug 2020 00:25:35 GMT1 week ago",3515674, 1.03x
13661,49,"Date:  Sat, 01 Aug 2020 00:25:44 GMT1 week ago",3515675, 1.71x
13660,48,"Date:  Sat, 01 Aug 2020 00:26:00 GMT1 week ago",3515676, 1.8x
13659,47,"Date:  Sat, 01 Aug 2020 00:26:17 GMT1 week ago",3515677, 1.28x
13658,46,"Date:  Sat, 01 Aug 2020 00:26:29 GMT1 week ago",3515678, 1.35x
13657,45,"Date:  Sat, 01 Aug 2020 00:26:41 GMT1 week ago",3515679, 2.07x
13656,44,"Date:  Sat, 01 Aug 2020 00:27:00 GMT1 week ago",3515680, 6.17x
13655,43,"Date:  Sat, 01 Aug 2020 00:27:35 GMT1 week ago",3515681, 1.39x
13654,42,"Date:  Sat, 01 Aug 2020 00:27:48 GMT1 week ago",3515682, 1.53x
13653,41,"Date:  Sat, 01 Aug 2020 00:28:02 GMT1 week ago",3515683, 8.03x
13652,40,"Date:  Sat, 01 Aug 2020 00:28:41 GMT1 week ago",3515684, 1.22x
13651,39,"Date:  Sat, 01 Aug 2020 00:28:52 GMT1 week ago",3515685, 1.38x
13650,38,"Date:  Sat, 01 Aug 2020 00:29:05 GMT1 week ago",3515686, 1.17x
13649,37,"Date:  Sat, 01 Aug 2020 00:29:16 GMT1 week ago",3515687, 2.05x
13648,36,"Date:  Sat, 01 Aug 2020 00:29:34 GMT1 week ago",3515688, 48.14x
13647,35,"Date:  Sat, 01 Aug 2020 00:30:38 GMT1 week ago",3515689, 3.56x
13646,34,"Date:  Sat, 01 Aug 2020 00:31:05 GMT1 week ago",3515690, 1.39x
